Symbol,Interval,KLineStartTime,KLineEndTime,FoundTime,MAPeriod,CurrentMA,MA10MinAgo,MA30MinAgo,MAHourAgo,MA4HoursAgo,MADayAgo,ConsistentUp,AboveMAKLines
lsk,15m,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.48765432,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
lumia,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.29819753,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
mana,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.28573827,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
manta,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.20513580,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
meme,15m,2025-03-12T08:00:00+08:00,2025-03-12T08:14:59+08:00,2025-04-21T12:52:05+08:00,81,0.00243577,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
mkr,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,1356.85185185,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
movr,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,5.54500000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
mubarak,15m,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.02464321,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
neiro,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.00018698,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
nil,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.36980247,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
nfp,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.06889506,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
nmr,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,7.57234568,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
ntrn,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.13045432,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
op,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.71240741,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
ondo,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.84022593,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
ordi,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,6.59691358,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
osmo,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.21876173,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
oxt,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.06899012,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
parti,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.16209383,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
paxg,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,3363.20987654,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
pendle,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,3.12700000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
