Symbol,Interval,KLineTime,FoundTime,MAPeriod,CurrentMA,MA10MinAgo,MA30MinAgo,MAHourAgo,MA4HoursAgo,MADayAgo,ConsistentUp
nkn,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.03469753,0.03433086,0.03400000,0.03342099,0.03060123,0.00000000,true
nmr,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,7.48456790,7.48197531,7.47864198,7.47197531,7.42888889,0.00000000,true
not,15m,2025-04-20T21:30:00+08:00,2025-04-20T21:56:06+08:00,81,0.00188290,0.00188174,0.00188054,0.00187826,0.00186872,0.00000000,true
ogn,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.05824198,0.05807407,0.05790617,0.05757901,0.05547037,0.00000000,true
ong,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.18712716,0.18706790,0.18699383,0.18682593,0.18584074,0.00000000,true
op,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.63928395,0.63913580,0.63888889,0.63848148,0.63602469,0.00000000,true
ordi,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,6.48222222,6.48074074,6.47876543,6.47395062,6.45444444,0.00000000,true
parti,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.15467160,0.15445309,0.15422469,0.15382593,0.15125309,0.00000000,true
pengu,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.00493075,0.00492981,0.00492869,0.00492602,0.00491360,0.00000000,true
pepe,15m,2025-04-20T21:30:00+08:00,2025-04-20T21:56:06+08:00,81,0.00000745,0.00000745,0.00000745,0.00000745,0.00000744,0.00000000,true
pond,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.00825309,0.00824802,0.00824272,0.00823074,0.00816049,0.00000000,true
prom,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,5.81088889,5.80972840,5.80792593,5.80461728,5.78411111,0.00000000,true
pros,15m,2025-04-16T10:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.04797407,0.04789753,0.04777284,0.04728889,0.04369259,0.00000000,true
psg,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,1.92067901,1.92044444,1.92009877,1.91918519,1.91581481,0.00000000,true
qnt,15m,2025-04-20T21:30:00+08:00,2025-04-20T21:56:06+08:00,81,65.65308642,65.63827160,65.61975309,65.58765432,65.46790123,0.00000000,true
rei,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.02298778,0.02296321,0.02293790,0.02288123,0.02255642,0.00000000,true
rlc,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,1.11959259,1.11939506,1.11912346,1.11856790,1.11603704,0.00000000,true
rsr,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.00688259,0.00688221,0.00688119,0.00687983,0.00687344,0.00000000,true
santos,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,2.46076543,2.46055556,2.46013580,2.45945679,2.45444444,0.00000000,true
sol,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,131.04493827,130.94987654,130.83802469,130.64333333,129.37358025,0.00000000,true
shib,15m,2025-04-20T21:30:00+08:00,2025-04-20T21:56:06+08:00,81,0.00001232,0.00001232,0.00001232,0.00001232,0.00001231,0.00000000,true
snt,15m,2025-04-16T10:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.02159444,0.02149457,0.02139691,0.02120407,0.02048704,0.00000000,true
stg,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.18101728,0.18095185,0.18087901,0.18075926,0.18014815,0.00000000,true
strax,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.06206642,0.06204765,0.06204765,0.06201951,0.06197309,0.00000000,true
sun,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.01674827,0.01674543,0.01674222,0.01673531,0.01669432,0.00000000,true
sxp,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.20550494,0.20540988,0.20532840,0.20530741,0.20480370,0.00000000,true
t,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.01465457,0.01464901,0.01464210,0.01462901,0.01454704,0.00000000,true
tia,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,2.48124691,2.48112346,2.48079012,2.47997531,2.47169136,0.00000000,true
tko,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.14910864,0.14909506,0.14907284,0.14905556,0.14871358,0.00000000,true
tlm,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.00427654,0.00427630,0.00427556,0.00427469,0.00426988,0.00000000,true
turbo,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.00206453,0.00206443,0.00206412,0.00206364,0.00205937,0.00000000,true
tut,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.02626481,0.02623185,0.02619938,0.02612827,0.02578469,0.00000000,true
uni,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,5.19116049,5.19035802,5.18909877,5.18695062,5.17172840,0.00000000,true
usual,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.12304938,0.12289630,0.12273086,0.12249383,0.12178765,0.00000000,true
vet,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.02240975,0.02240173,0.02239198,0.02237457,0.02228062,0.00000000,true
vtho,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.00259056,0.00258981,0.00258902,0.00258774,0.00257207,0.00000000,true
wct,15m,2025-04-20T21:30:00+08:00,2025-04-20T21:56:06+08:00,81,0.46394691,0.46266914,0.46130741,0.45889259,0.44522593,0.00000000,true
xai,15m,2025-04-20T21:30:00+08:00,2025-04-20T21:56:06+08:00,81,0.04849753,0.04846173,0.04842346,0.04835185,0.04784815,0.00000000,true
xec,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.00001910,0.00001909,0.00001909,0.00001909,0.00001908,0.00000000,true
xusd,15m,2025-04-20T21:45:00+08:00,2025-04-20T21:56:06+08:00,81,1.00028642,1.00028519,1.00028148,1.00028025,1.00027160,0.00000000,true
yfi,15m,2025-04-20T21:30:00+08:00,2025-04-20T21:56:06+08:00,81,4582.23456790,4581.96296296,4581.60493827,4581.09876543,4579.38271605,0.00000000,true
zk,15m,2025-04-17T17:45:00+08:00,2025-04-20T21:56:06+08:00,81,0.04789136,0.04788519,0.04787407,0.04786296,0.04776667,0.00000000,true
