Symbol,Interval,FoundTime,MAPeriod,CurrentMA,MA10MinAgo,MA30MinAgo,MAHourAgo,MA4HoursAgo,MADayAgo,ConsistentUp
pond,15m,2025-04-20T21:31:06+08:00,81,0.00824272,0.00823691,0.00823074,0.00822025,0.00814802,0.00000000,true
prom,15m,2025-04-20T21:31:06+08:00,81,5.80792593,5.80619753,5.80461728,5.80144444,5.78086420,0.00000000,true
pros,15m,2025-04-20T21:31:06+08:00,81,0.04797407,0.04789753,0.04777284,0.04728889,0.04369259,0.00000000,true
rei,15m,2025-04-20T21:31:06+08:00,81,0.02293790,0.02290975,0.02288123,0.02282901,0.02249432,0.00000000,true
psg,15m,2025-04-20T21:31:06+08:00,81,1.92067901,1.92044444,1.92009877,1.91918519,1.91581481,0.00000000,true
ray,15m,2025-04-20T21:31:06+08:00,81,2.30300000,2.30107407,2.29908642,2.29379012,2.26312346,0.00000000,true
rlc,15m,2025-04-20T21:31:06+08:00,81,1.11912346,1.11886420,1.11856790,1.11807407,1.11522222,0.00000000,true
rsr,15m,2025-04-20T21:31:06+08:00,81,0.00688259,0.00688221,0.00688119,0.00687983,0.00687344,0.00000000,true
santos,15m,2025-04-20T21:31:06+08:00,81,2.46076543,2.46055556,2.46013580,2.45945679,2.45444444,0.00000000,true
snt,15m,2025-04-20T21:31:06+08:00,81,0.02159444,0.02149457,0.02139691,0.02120407,0.02048704,0.00000000,true
sun,15m,2025-04-20T21:31:06+08:00,81,0.01674222,0.01673914,0.01673531,0.01672802,0.01668938,0.00000000,true
stg,15m,2025-04-20T21:31:06+08:00,81,0.18101728,0.18095185,0.18087901,0.18075926,0.18014815,0.00000000,true
sol,15m,2025-04-20T21:31:06+08:00,81,131.04493827,130.94987654,130.83802469,130.64333333,129.37358025,0.00000000,true
tia,15m,2025-04-20T21:31:06+08:00,81,2.48079012,2.48045679,2.47997531,2.47875309,2.46975309,0.00000000,true
tko,15m,2025-04-20T21:31:06+08:00,81,0.14907284,0.14906667,0.14905556,0.14905432,0.14860000,0.00000000,true
sys,15m,2025-04-20T21:31:06+08:00,81,0.03295556,0.03295062,0.03294321,0.03293210,0.03285432,0.00000000,true
